accuracy_RF_IBD,F1_RF_IBD,auprc_RF_IBD,accuracy_RF_CRC,F1_RF_CRC,auprc_RF_CRC,accuracy_RF_IGT,F1_RF_IGT,auprc_RF_IGT,accuracy_RF_T2D,F1_RF_T2D,auprc_RF_T2D
0.969359331476323,0.91970802919708,0.972026377010696,0.908517350157729,0.472727272727273,0.681834196473408,0.986754966887417,0.857142857142857,0.970019866940694,0.963210702341137,0.352941176470588,0.440477760265063
0.955307262569832,0.891891891891892,0.984217392318066,0.931034482758621,0.56,0.664839985263221,0.973333333333333,0.733333333333333,0.938009887834859,0.95959595959596,0.4,0.631438327095284
0.938718662952646,0.842857142857143,0.970409641312221,0.924764890282132,0.571428571428571,0.635627493242626,0.99009900990099,0.914285714285714,0.994864193245323,0.969798657718121,0.526315789473684,0.650419207382738
0.93854748603352,0.851351351351351,0.970913563103378,0.952830188679245,0.727272727272727,0.828708136241015,0.973597359735974,0.818181818181818,0.970310826627351,0.933110367892977,0.166666666666667,0.679895934961879
0.949720670391061,0.863636363636364,0.969615104292092,0.93125,0.666666666666667,0.799293470252762,0.983388704318937,0.827586206896552,0.996637740362356,0.976430976430976,0.631578947368421,0.452918841266543
0.958100558659218,0.888888888888889,0.992199143485666,0.921135646687697,0.468085106382979,0.715906533914979,0.986666666666667,0.846153846153846,0.938632716377649,0.956228956228956,0.235294117647059,0.454879413355324
0.949860724233983,0.871428571428572,0.969530210366537,0.934375,0.60377358490566,0.738266524111269,0.983498349834984,0.878048780487805,0.993436464698635,0.93,0.275862068965517,0.510545401206602
0.952513966480447,0.885906040268456,0.970750565486491,0.943396226415094,0.625,0.765638822855545,0.983388704318937,0.838709677419355,1,0.949664429530201,0.4,0.596062836578533
0.958100558659218,0.892086330935252,0.965253761976733,0.937106918238994,0.615384615384615,0.767334502470915,0.983443708609272,0.888888888888889,0.950372065664514,0.929530201342282,0.0869565217391305,0.265684801541252
0.969359331476323,0.918518518518519,0.982206485478037,0.915094339622642,0.608695652173913,0.746555395245685,0.993355481727575,0.95,1,0.946308724832215,0.111111111111111,0.546756835601173
